time/fps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/episodes,time/total_timesteps,train/loss,train/learning_rate,train/n_updates
107,0,56.92,9.77,3588,130000,385670,11.019793510437012,0.001,83917
108,0,96.25,11.06,3640,131000,396632,10.612321853637695,0.001,86657
110,0,80.2,10.78,3694,132000,407405,16.300273895263672,0.001,89351
111,0,80.31,9.66,3744,133000,417857,12.622005462646484,0.001,91964
112,0,65.43,9.57,3792,134000,427675,16.480878829956055,0.001,94418
113,0,82.55,9.94,3840,135000,437255,15.805522918701172,0.001,96813
114,0,46.53,7.46,3884,136000,445828,24.47483253479004,0.001,98956
115,0,39.67,6.95,3924,137000,452298,12.868888854980469,0.001,100574
115,0,35.8,6.63,3965,138000,459011,11.851618766784668,0.001,102252
115,0,3.73,2.2,3997,139000,462292,19.82636833190918,0.001,103072
115,0,6.59,2.74,4028,140000,464716,37.3034553527832,0.001,103678
115,0,5.14,2.38,4058,141000,467244,39.097511291503906,0.001,104310
114,0,5.45,2.49,4087,142000,469666,33.27519226074219,0.001,104916
114,0,5.28,2.53,4118,143000,472119,45.340572357177734,0.001,105529
114,0,5.34,2.58,4147,144000,474592,51.679908752441406,0.001,106147
114,0,5.19,2.59,4176,145000,477035,62.87940216064453,0.001,106758
113,0,4.29,2.25,4206,146000,479404,53.08811950683594,0.001,107350
113,0,5.33,2.71,4236,147000,481933,35.727108001708984,0.001,107983
113,0,1.72,1.54,4266,148000,484648,31.89797592163086,0.001,108661
113,0,1.04,1.46,4291,149000,486238,46.85383987426758,0.001,109059
112,0,1.51,1.49,4316,150000,487671,25.428462982177734,0.001,109417
112,0,1.17,1.49,4341,151000,489091,54.71397399902344,0.001,109772
112,0,1.41,1.59,4366,152000,490615,55.50608825683594,0.001,110153
112,0,1.48,1.62,4392,153000,492221,68.37126922607422,0.001,110555
111,0,1.03,1.44,4418,154000,493757,68.27992248535156,0.001,110939
111,0,0.56,1.25,4443,155000,495127,71.8442153930664,0.001,111281
111,0,0.17,1.08,4467,156000,496370,58.30337905883789,0.001,111592
110,0,0.36,1.16,4490,157000,497509,50.054229736328125,0.001,111877
110,0,0.19,1.09,4514,158000,498626,41.17813491821289,0.001,112156
110,0,0.34,1.15,4537,159000,499762,44.55192184448242,0.001,112440
